"Modelo","Clasificación Energética","Mínimo","Máximo","Mínimo","Máximo"
"Iveco AT190S40/P Paso 5100;Cambio Automatizado","","0,0","0,0","0,0","0,0"
"Iveco AT190S40/P Paso 5500;Cambio Automatizado","","0,0","0,0","0,0","0,0"
"Iveco AT190S40/P Paso 5700;Cambio Automatizado","","0,0","0,0","0,0","0,0"
"Iveco AT190S40/P Paso 6300;Cambio Automatizado","","0,0","0,0","0,0","0,0"
"Iveco AT260S40Y/FP D Paso 5100;Cambio Automatizado","","0,0","0,0","0,0","0,0"
"Iveco AT260S40Y/FP D Paso 5500;Cambio Automatizado","","0,0","0,0","0,0","0,0"
"Iveco AT260S40Y/FP D Paso 5700;Cambio Automatizado","","0,0","0,0","0,0","0,0"
"Iveco AT260S40Y/FP D Paso 6050;Cambio Automatizado","","0,0","0,0","0,0","0,0"
"Iveco AT260S40Y/FS D Paso 5100;Cambio Automatizado","","0,0","0,0","0,0","0,0"
"Iveco AT260S40Y/FS D Paso 5500;Cambio Automatizado","","0,0","0,0","0,0","0,0"
"Iveco AT260S40Y/FS D Paso 5700;Cambio Automatizado","","0,0","0,0","0,0","0,0"
"Iveco AT260S40Y/FS D Paso 6050;Cambio Automatizado","","0,0","0,0","0,0","0,0"
"Iveco AT260S40Y/P Paso 5100;Cambio Automatizado","","0,0","0,0","0,0","0,0"
"Iveco AT260S40Y/P Paso 5500;Cambio Automatizado","","0,0","0,0","0,0","0,0"
"Iveco AT260S40Y/P Paso 5700;Cambio Automatizado","","0,0","0,0","0,0","0,0"
"Iveco AT260S40Y/P Paso 6050;Cambio Automatizado","","0,0","0,0","0,0","0,0"
"Iveco AT260S40Y/PS Paso 5100;Cambio Automatizado","","0,0","0,0","0,0","0,0"
"Iveco AT260S40Y/PS Paso 5500;Cambio Automatizado","","0,0","0,0","0,0","0,0"
"Iveco AT260S40Y/PS Paso 5700;Cambio Automatizado","","0,0","0,0","0,0","0,0"
"Iveco AT260S40Y/PS Paso 6050;Cambio Automatizado","","0,0","0,0","0,0","0,0"
"Iveco Chasis Cab 35 C 14 A8 N Paso 3450;  Cambio Automático","","0,0","0,0","0,0","0,0"
"Iveco Chasis Cab 35 C 14 A8 N Paso 3750;  Cambio Automático","","0,0","0,0","0,0","0,0"
"Iveco Chasis Cab 35 C 14 A8 N Paso 4100;  Cambio Automático","","0,0","0,0","0,0","0,0"
"Iveco Chasis Cab 35 C 14 A8 N/P Paso 3450;  Cambio Automático","","0,0","0,0","0,0","0,0"
"Iveco Chasis Cab 35 C 14 A8 N/P Paso 3750;  Cambio Automático","","0,0","0,0","0,0","0,0"
"Iveco Chasis Cab 35 C 14 A8 N/P Paso 4100;  Cambio Automático","","0,0","0,0","0,0","0,0"
"Iveco Chasis Cab 35 C 14 N Paso 3450;  6V Cambio Manual","","0,0","0,0","0,0","0,0"
"Iveco Chasis Cab 35 C 14 N Paso 3750;  6V Cambio Manual","","0,0","0,0","0,0","0,0"
"Iveco Chasis Cab 35 C 14 N Paso 4100;  6V Cambio Manual","","0,0","0,0","0,0","0,0"
"Iveco Chasis Cab 35 C 14 N/P Paso 3450;  6V Cambio Manual","","0,0","0,0","0,0","0,0"
