"Modelo","Clasificación Energética","Mínimo","Máximo","Mínimo","Máximo"
"Iveco Chasis Cab 50 C 14 A8 Z N/P Paso 4100;  Cambio Automático","","0,0","0,0","0,0","0,0"
"Iveco Chasis Cab 50 C 14 A8 Z N/P Paso 4350;  Cambio Automático","","0,0","0,0","0,0","0,0"
"Iveco Chasis Cab 50 C 14 N Paso 3450;  6V Cambio Manual","","0,0","0,0","0,0","0,0"
"Iveco Chasis Cab 50 C 14 N Paso 3750;  6V Cambio Manual","","0,0","0,0","0,0","0,0"
"Iveco Chasis Cab 50 C 14 N Paso 4100;  6V Cambio Manual","","0,0","0,0","0,0","0,0"
"Iveco Chasis Cab 50 C 14 N Paso 4350;  6V Cambio Manual","","0,0","0,0","0,0","0,0"
"Iveco Chasis Cab 50 C 14 N/P Paso 3450;  6V Cambio Manual","","0,0","0,0","0,0","0,0"
"Iveco Chasis Cab 50 C 14 N/P Paso 3750;  6V Cambio Manual","","0,0","0,0","0,0","0,0"
"Iveco Chasis Cab 50 C 14 N/P Paso 4100;  6V Cambio Manual","","0,0","0,0","0,0","0,0"
"Iveco Chasis Cab 50 C 14 N/P Paso 4350;  6V Cambio Manual","","0,0","0,0","0,0","0,0"
"Iveco Chasis Cab 50 C 14 Z N Paso 3450;  6V Cambio Manual","","0,0","0,0","0,0","0,0"
"Iveco Chasis Cab 50 C 14 Z N Paso 3750;  6V Cambio Manual","","0,0","0,0","0,0","0,0"
"Iveco Chasis Cab 50 C 14 Z N Paso 4100;  6V Cambio Manual","","0,0","0,0","0,0","0,0"
"Iveco Chasis Cab 50 C 14 Z N Paso 4350;  6V Cambio Manual","","0,0","0,0","0,0","0,0"
"Iveco Chasis Cab 50 C 14 Z N/P Paso 3450;  6V Cambio Manual","","0,0","0,0","0,0","0,0"
"Iveco Chasis Cab 50 C 14 Z N/P Paso 3750;  6V Cambio Manual","","0,0","0,0","0,0","0,0"
"Iveco Chasis Cab 50 C 14 Z N/P Paso 4100;  6V Cambio Manual","","0,0","0,0","0,0","0,0"
"Iveco Chasis Cab 50 C 14 Z N/P Paso 4350;  6V Cambio Manual","","0,0","0,0","0,0","0,0"
"Iveco Chasis Cab 50 C Batería 2; Paso 3450","","0,0","0,0","0,0","0,0"
"Iveco Chasis Cab 50 C Batería 2; Paso 3750","","0,0","0,0","0,0","0,0"
"Iveco Chasis Cab 50 C Batería 2; Paso 4100","","0,0","0,0","0,0","0,0"
"Iveco Chasis Cab 50 C Batería 3; Paso 4100","","0,0","0,0","0,0","0,0"
"Iveco Chasis Cab 50 C/P Batería 2; Paso 3450","","0,0","0,0","0,0","0,0"
"Iveco Chasis Cab 50 C/P Batería 2; Paso 3750","","0,0","0,0","0,0","0,0"
"Iveco Chasis Cab 50 C/P Batería 2; Paso 4100","","0,0","0,0","0,0","0,0"
"Iveco Chasis Cab 50 C/P Batería 3; Paso 4100","","0,0","0,0","0,0","0,0"
"Iveco Chasis Cab 65 C 14 A8 N Paso 3450;  Cambio Automático","","0,0","0,0","0,0","0,0"
"Iveco Chasis Cab 65 C 14 A8 N Paso 3750;  Cambio Automático","","0,0","0,0","0,0","0,0"
"Iveco Chasis Cab 65 C 14 A8 N Paso 4100;  Cambio Automático","","0,0","0,0","0,0","0,0"
"Iveco Chasis Cab 65 C 14 A8 N Paso 4350;  Cambio Automático","","0,0","0,0","0,0","0,0"
"Iveco Chasis Cab 65 C 14 A8 N Paso 4750;  Cambio Automático","","0,0","0,0","0,0","0,0"
"Iveco Chasis Cab 65 C 14 A8 N Paso 5100;  Cambio Automático","","0,0","0,0","0,0","0,0"
"Iveco Chasis Cab 65 C 14 A8 N/P Paso 3450;  Cambio Automático","","0,0","0,0","0,0","0,0"
"Iveco Chasis Cab 65 C 14 A8 N/P Paso 3750;  Cambio Automático","","0,0","0,0","0,0","0,0"
"Iveco Chasis Cab 65 C 14 A8 N/P Paso 4100;  Cambio Automático","","0,0","0,0","0,0","0,0"
"Iveco Chasis Cab 65 C 14 A8 N/P Paso 4350;  Cambio Automático","","0,0","0,0","0,0","0,0"
"Iveco Chasis Cab 65 C 14 A8 N/P Paso 4750;  Cambio Automático","","0,0","0,0","0,0","0,0"
"Iveco Chasis Cab 65 C 14 A8 N/P Paso 5100;  Cambio Automático","","0,0","0,0","0,0","0,0"
"Iveco Chasis Cab 65 C 14 N Paso 3450;  6V Cambio Manual","","0,0","0,0","0,0","0,0"
"Iveco Chasis Cab 65 C 14 N Paso 3750;  6V Cambio Manual","","0,0","0,0","0,0","0,0"
"Iveco Chasis Cab 65 C 14 N Paso 4100;  6V Cambio Manual","","0,0","0,0","0,0","0,0"
"Iveco Chasis Cab 65 C 14 N Paso 4350;  6V Cambio Manual","","0,0","0,0","0,0","0,0"
"Iveco Chasis Cab 65 C 14 N Paso 4750;  6V Cambio Manual","","0,0","0,0","0,0","0,0"
"Iveco Chasis Cab 65 C 14 N Paso 5100;  6V Cambio Manual","","0,0","0,0","0,0","0,0"
"Iveco Chasis Cab 65 C 14 N/P Paso 3450;  6V Cambio Manual","","0,0","0,0","0,0","0,0"
"Iveco Chasis Cab 65 C 14 N/P Paso 3750;  6V Cambio Manual","","0,0","0,0","0,0","0,0"
"Iveco Chasis Cab 65 C 14 N/P Paso 4100;  6V Cambio Manual","","0,0","0,0","0,0","0,0"
"Iveco Chasis Cab 65 C 14 N/P Paso 4350;  6V Cambio Manual","","0,0","0,0","0,0","0,0"
"Iveco Chasis Cab 65 C 14 N/P Paso 4750;  6V Cambio Manual","","0,0","0,0","0,0","0,0"
"Iveco Chasis Cab 65 C 14 N/P Paso 5100;  6V Cambio Manual","","0,0","0,0","0,0","0,0"
"Iveco Chasis Cab 70 C 14 A8 G Paso 3450;  Cambio Automático","","0,0","0,0","0,0","0,0"
"Iveco Chasis Cab 70 C 14 A8 G Paso 3750;  Cambio Automático","","0,0","0,0","0,0","0,0"
"Iveco Chasis Cab 70 C 14 A8 G Paso 4100;  Cambio Automático","","0,0","0,0","0,0","0,0"
"Iveco Chasis Cab 70 C 14 A8 G Paso 4350;  Cambio Automático","","0,0","0,0","0,0","0,0"
"Iveco Chasis Cab 70 C 14 A8 G Paso 4750;  Cambio Automático","","0,0","0,0","0,0","0,0"
"Iveco Chasis Cab 70 C 14 A8 G Paso 5100;  Cambio Automático","","0,0","0,0","0,0","0,0"
"Iveco Chasis Cab 70 C 14 A8 G/P Paso 3450;  Cambio Automático","","0,0","0,0","0,0","0,0"
"Iveco Chasis Cab 70 C 14 A8 G/P Paso 3750;  Cambio Automático","","0,0","0,0","0,0","0,0"
"Iveco Chasis Cab 70 C 14 A8 G/P Paso 4100;  Cambio Automático","","0,0","0,0","0,0","0,0"
"Iveco Chasis Cab 70 C 14 A8 G/P Paso 4350;  Cambio Automático","","0,0","0,0","0,0","0,0"
"Iveco Chasis Cab 70 C 14 A8 G/P Paso 4750;  Cambio Automático","","0,0","0,0","0,0","0,0"
"Iveco Chasis Cab 70 C 14 A8 G/P Paso 5100;  Cambio Automático","","0,0","0,0","0,0","0,0"
