"Modelo","Clasificación Energética","Mínimo","Máximo","Mínimo","Máximo"
"Iveco S-WAY AD260S40Y/FS CNG Paso: 5700; Cambio Automatizado","","0,0","0,0","0,0","0,0"
"Iveco S-WAY AD260S40Y/FS CNG Paso: 6050; Cambio Automatizado","","0,0","0,0","0,0","0,0"
"Iveco S-WAY AD260S40Y/PS 1LNG Paso: 4200; Cambio Automatizado","","0,0","0,0","0,0","0,0"
"Iveco S-WAY AD260S40Y/PS 1LNG Paso: 4500; Cambio Automatizado","","0,0","0,0","0,0","0,0"
"Iveco S-WAY AD260S40Y/PS 1LNG Paso: 4800; Cambio Automatizado","","0,0","0,0","0,0","0,0"
"Iveco S-WAY AD260S40Y/PS 1LNG Paso: 5100; Cambio Automatizado","","0,0","0,0","0,0","0,0"
"Iveco S-WAY AD260S40Y/PS 1LNG Paso: 5500; Cambio Automatizado","","0,0","0,0","0,0","0,0"
"Iveco S-WAY AD260S40Y/PS 1LNG Paso: 5700; Cambio Automatizado","","0,0","0,0","0,0","0,0"
"Iveco S-WAY AD260S40Y/PS 1LNG Paso: 6050; Cambio Automatizado","","0,0","0,0","0,0","0,0"
"Iveco S-WAY AD260S40Y/PS 2LNG Paso: 4200; Cambio Automatizado","","0,0","0,0","0,0","0,0"
"Iveco S-WAY AD260S40Y/PS 2LNG Paso: 4500; Cambio Automatizado","","0,0","0,0","0,0","0,0"
"Iveco S-WAY AD260S40Y/PS 2LNG Paso: 4800; Cambio Automatizado","","0,0","0,0","0,0","0,0"
"Iveco S-WAY AD260S40Y/PS 2LNG Paso: 5100; Cambio Automatizado","","0,0","0,0","0,0","0,0"
"Iveco S-WAY AD260S40Y/PS 2LNG Paso: 5500; Cambio Automatizado","","0,0","0,0","0,0","0,0"
"Iveco S-WAY AD260S40Y/PS 2LNG Paso: 5700; Cambio Automatizado","","0,0","0,0","0,0","0,0"
"Iveco S-WAY AD260S40Y/PS 2LNG Paso: 6050; Cambio Automatizado","","0,0","0,0","0,0","0,0"
"Iveco S-WAY AD260S40Y/PS CLNG Paso: 4200; Cambio Automatizado","","0,0","0,0","0,0","0,0"
"Iveco S-WAY AD260S40Y/PS CLNG Paso: 4500; Cambio Automatizado","","0,0","0,0","0,0","0,0"
"Iveco S-WAY AD260S40Y/PS CLNG Paso: 4800; Cambio Automatizado","","0,0","0,0","0,0","0,0"
"Iveco S-WAY AD260S40Y/PS CLNG Paso: 5100; Cambio Automatizado","","0,0","0,0","0,0","0,0"
"Iveco S-WAY AD260S40Y/PS CLNG Paso: 5500; Cambio Automatizado","","0,0","0,0","0,0","0,0"
"Iveco S-WAY AD260S40Y/PS CLNG Paso: 5700; Cambio Automatizado","","0,0","0,0","0,0","0,0"
"Iveco S-WAY AD260S40Y/PS CLNG Paso: 6050; Cambio Automatizado","","0,0","0,0","0,0","0,0"
"Iveco S-WAY AD260S40Y/PS CNG Paso: 3800; Cambio Automatizado","","0,0","0,0","0,0","0,0"
"Iveco S-WAY AD260S40Y/PS CNG Paso: 4200; Cambio Automatizado","","0,0","0,0","0,0","0,0"
"Iveco S-WAY AD260S40Y/PS CNG Paso: 4500; Cambio Automatizado","","0,0","0,0","0,0","0,0"
"Iveco S-WAY AD260S40Y/PS CNG Paso: 4800; Cambio Automatizado","","0,0","0,0","0,0","0,0"
"Iveco S-WAY AD260S40Y/PS CNG Paso: 5100; Cambio Automatizado","","0,0","0,0","0,0","0,0"
"Iveco S-WAY AD260S40Y/PS CNG Paso: 5500; Cambio Automatizado","","0,0","0,0","0,0","0,0"
"Iveco S-WAY AD260S40Y/PS CNG Paso: 5700; Cambio Automatizado","","0,0","0,0","0,0","0,0"
"Iveco S-WAY AD260S40Y/PS CNG Paso: 6050; Cambio Automatizado","","0,0","0,0","0,0","0,0"
"Iveco S-WAY AS190S46/FP CM CNG Paso: 5700; Cambio Automatizado","","0,0","0,0","0,0","0,0"
"Iveco S-WAY AS260S46Y/FS 1LNG Paso: 4200; Cambio Automatizado","","0,0","0,0","0,0","0,0"
"Iveco S-WAY AS260S46Y/FS 1LNG Paso: 4500; Cambio Automatizado","","0,0","0,0","0,0","0,0"
"Iveco S-WAY AS260S46Y/FS 1LNG Paso: 4800; Cambio Automatizado","","0,0","0,0","0,0","0,0"
"Iveco S-WAY AS260S46Y/FS 1LNG Paso: 5100; Cambio Automatizado","","0,0","0,0","0,0","0,0"
"Iveco S-WAY AS260S46Y/FS 1LNG Paso: 5700; Cambio Automatizado","","0,0","0,0","0,0","0,0"
"Iveco S-WAY AS260S46Y/FS 1LNG Paso: 6050; Cambio Automatizado","","0,0","0,0","0,0","0,0"
"Iveco S-WAY AS260S46Y/FS 2LNG Paso: 4200; Cambio Automatizado","","0,0","0,0","0,0","0,0"
"Iveco S-WAY AS260S46Y/FS 2LNG Paso: 4500; Cambio Automatizado","","0,0","0,0","0,0","0,0"
"Iveco S-WAY AS260S46Y/FS 2LNG Paso: 4800; Cambio Automatizado","","0,0","0,0","0,0","0,0"
"Iveco S-WAY AS260S46Y/FS 2LNG Paso: 5100; Cambio Automatizado","","0,0","0,0","0,0","0,0"
"Iveco S-WAY AS260S46Y/FS 2LNG Paso: 5700; Cambio Automatizado","","0,0","0,0","0,0","0,0"
"Iveco S-WAY AS260S46Y/FS 2LNG Paso: 6050; Cambio Automatizado","","0,0","0,0","0,0","0,0"
"Iveco S-WAY AS260S46Y/FS CLNG Paso: 4200; Cambio Automatizado","","0,0","0,0","0,0","0,0"
"Iveco S-WAY AS260S46Y/FS CLNG Paso: 4500; Cambio Automatizado","","0,0","0,0","0,0","0,0"
"Iveco S-WAY AS260S46Y/FS CLNG Paso: 4800; Cambio Automatizado","","0,0","0,0","0,0","0,0"
"Iveco S-WAY AS260S46Y/FS CLNG Paso: 5100; Cambio Automatizado","","0,0","0,0","0,0","0,0"
"Iveco S-WAY AS260S46Y/FS CLNG Paso: 5700; Cambio Automatizado","","0,0","0,0","0,0","0,0"
"Iveco S-WAY AS260S46Y/FS CLNG Paso: 6050; Cambio Automatizado","","0,0","0,0","0,0","0,0"
"Iveco S-WAY AS260S46Y/FS CM 1LNG Paso: 4800; Cambio Automatizado","","0,0","0,0","0,0","0,0"
"Iveco S-WAY AS260S46Y/FS CM 1LNG Paso: 5100; Cambio Automatizado","","0,0","0,0","0,0","0,0"
"Iveco S-WAY AS260S46Y/FS CM 1LNG Paso: 5700; Cambio Automatizado","","0,0","0,0","0,0","0,0"
"Iveco S-WAY AS260S46Y/FS CM 1LNG Paso: 6050; Cambio Automatizado","","0,0","0,0","0,0","0,0"
"Iveco S-WAY AS260S46Y/FS CM 2LNG Paso: 4800; Cambio Automatizado","","0,0","0,0","0,0","0,0"
"Iveco S-WAY AS260S46Y/FS CM 2LNG Paso: 5100; Cambio Automatizado","","0,0","0,0","0,0","0,0"
"Iveco S-WAY AS260S46Y/FS CM 2LNG Paso: 5700; Cambio Automatizado","","0,0","0,0","0,0","0,0"
"Iveco S-WAY AS260S46Y/FS CM 2LNG Paso: 6050; Cambio Automatizado","","0,0","0,0","0,0","0,0"
"Iveco S-WAY AS260S46Y/FS CM CLNG Paso: 4800; Cambio Automatizado","","0,0","0,0","0,0","0,0"
"Iveco S-WAY AS260S46Y/FS CM CLNG Paso: 5100; Cambio Automatizado","","0,0","0,0","0,0","0,0"
"Iveco S-WAY AS260S46Y/FS CM CLNG Paso: 5700; Cambio Automatizado","","0,0","0,0","0,0","0,0"
"Iveco S-WAY AS260S46Y/FS CM CLNG Paso: 6050; Cambio Automatizado","","0,0","0,0","0,0","0,0"
"Iveco S-WAY AS260S46Y/FS CM CNG Paso: 4800; Cambio Automatizado","","0,0","0,0","0,0","0,0"
"Iveco S-WAY AS260S46Y/FS CM CNG Paso: 5100; Cambio Automatizado","","0,0","0,0","0,0","0,0"
"Iveco S-WAY AS260S46Y/FS CM CNG Paso: 5700; Cambio Automatizado","","0,0","0,0","0,0","0,0"
"Iveco S-WAY AS260S46Y/FS CM CNG Paso: 6050; Cambio Automatizado","","0,0","0,0","0,0","0,0"
"Iveco S-WAY AS260S46Y/FS CNG Paso: 4200; Cambio Automatizado","","0,0","0,0","0,0","0,0"
"Iveco S-WAY AS260S46Y/FS CNG Paso: 4500; Cambio Automatizado","","0,0","0,0","0,0","0,0"
"Iveco S-WAY AS260S46Y/FS CNG Paso: 4800; Cambio Automatizado","","0,0","0,0","0,0","0,0"
"Iveco S-WAY AS260S46Y/FS CNG Paso: 5100; Cambio Automatizado","","0,0","0,0","0,0","0,0"
"Iveco S-WAY AS260S46Y/FS CNG Paso: 5700; Cambio Automatizado","","0,0","0,0","0,0","0,0"
"Iveco S-WAY AS260S46Y/FS CNG Paso: 6050; Cambio Automatizado","","0,0","0,0","0,0","0,0"
"Iveco S-WAY AS260S46Y/PS 1LNG Paso: 4200; Cambio Automatizado","","0,0","0,0","0,0","0,0"
"Iveco S-WAY AS260S46Y/PS 1LNG Paso: 4500; Cambio Automatizado","","0,0","0,0","0,0","0,0"
"Iveco S-WAY AS260S46Y/PS 1LNG Paso: 4800; Cambio Automatizado","","0,0","0,0","0,0","0,0"
"Iveco S-WAY AS260S46Y/PS 1LNG Paso: 5100; Cambio Automatizado","","0,0","0,0","0,0","0,0"
"Iveco S-WAY AS260S46Y/PS 1LNG Paso: 5700; Cambio Automatizado","","0,0","0,0","0,0","0,0"
"Iveco S-WAY AS260S46Y/PS 1LNG Paso: 6050; Cambio Automatizado","","0,0","0,0","0,0","0,0"
"Iveco S-WAY AS260S46Y/PS 2LNG Paso: 4200; Cambio Automatizado","","0,0","0,0","0,0","0,0"
