"Modelo","Clasificación Energética","Mínimo","Máximo","Mínimo","Máximo"
"Iveco STRALIS AD190S33/P GNC Paso 6300; Cambio Manual","","0,0","0,0","0,0","0,0"
"Iveco STRALIS AD190S33/P GNL Paso 4200; Cambio Automático","","0,0","0,0","0,0","0,0"
"Iveco STRALIS AD190S33/P GNL Paso 4200; Cambio Manual","","0,0","0,0","0,0","0,0"
"Iveco STRALIS AD190S33/P GNL Paso 4500; Cambio Automático","","0,0","0,0","0,0","0,0"
"Iveco STRALIS AD190S33/P GNL Paso 4500; Cambio Manual","","0,0","0,0","0,0","0,0"
"Iveco STRALIS AD190S33/P GNL Paso 5100; Cambio Automático","","0,0","0,0","0,0","0,0"
"Iveco STRALIS AD190S33/P GNL Paso 5100; Cambio Manual","","0,0","0,0","0,0","0,0"
"Iveco STRALIS AD190S33/P GNL Paso 6300; Cambio Automático","","0,0","0,0","0,0","0,0"
"Iveco STRALIS AD190S33/P GNL Paso 6300; Cambio Manual","","0,0","0,0","0,0","0,0"
"Iveco STRALIS AD260S27X/FP D GNC Paso 4200; Cambio Automático","","0,0","0,0","0,0","0,0"
"Iveco STRALIS AD260S27X/FP D GNC Paso 4500; Cambio Automático","","0,0","0,0","0,0","0,0"
"Iveco STRALIS AD260S27X/FP D GNC Paso 5000; Cambio Automático","","0,0","0,0","0,0","0,0"
"Iveco STRALIS AD260S27Y/FS D GNC Paso 5100; Cambio Automático","","0,0","0,0","0,0","0,0"
"Iveco STRALIS AD260S27Y/FS D GNC Paso 5700; Cambio Manual","","0,0","0,0","0,0","0,0"
"Iveco STRALIS AD260S27Y/PS GNC Paso 3120; Cambio Automático","","0,0","0,0","0,0","0,0"
"Iveco STRALIS AD260S27Y/PS GNC Paso 3800; Cambio Automático","","0,0","0,0","0,0","0,0"
"Iveco STRALIS AD260S27Y/PS GNC Paso 4200; Cambio Automático","","0,0","0,0","0,0","0,0"
"Iveco STRALIS AD260S27Y/PS GNC Paso 4500; Cambio Automático","","0,0","0,0","0,0","0,0"
"Iveco STRALIS AD260S27Y/PS GNC Paso 4500; Cambio Manual","","0,0","0,0","0,0","0,0"
"Iveco STRALIS AD260S27Y/PS GNC Paso 4800; Cambio Automático","","0,0","0,0","0,0","0,0"
"Iveco STRALIS AD260S27Y/PS GNC Paso 5100; Cambio Automático","","0,0","0,0","0,0","0,0"
"Iveco STRALIS AD260S27Y/PS GNC Paso 5100; Cambio Manual","","0,0","0,0","0,0","0,0"
"Iveco STRALIS AD260S30X/FP D GNC Paso 4200; Cambio Automático","","0,0","0,0","0,0","0,0"
"Iveco STRALIS AD260S30X/FP D GNC Paso 4500; Cambio Automático","","0,0","0,0","0,0","0,0"
"Iveco STRALIS AD260S30X/FP D GNC Paso 5000; Cambio Automático","","0,0","0,0","0,0","0,0"
"Iveco STRALIS AD260S30Y/FS D GNC Paso 5100; Cambio Automático","","0,0","0,0","0,0","0,0"
"Iveco STRALIS AD260S30Y/FS D GNC Paso 5100; Cambio Manual","","0,0","0,0","0,0","0,0"
"Iveco STRALIS AD260S30Y/PS GNC Paso 3120; Cambio Automático","","0,0","0,0","0,0","0,0"
"Iveco STRALIS AD260S30Y/PS GNC Paso 3120; Cambio Manual","","0,0","0,0","0,0","0,0"
"Iveco STRALIS AD260S30Y/PS GNC Paso 3800; Cambio Automático","","0,0","0,0","0,0","0,0"
"Iveco STRALIS AD260S30Y/PS GNC Paso 3800; Cambio Manual","","0,0","0,0","0,0","0,0"
"Iveco STRALIS AD260S30Y/PS GNC Paso 4200; Cambio Automático","","0,0","0,0","0,0","0,0"
"Iveco STRALIS AD260S30Y/PS GNC Paso 4200; Cambio Manual","","0,0","0,0","0,0","0,0"
"Iveco STRALIS AD260S30Y/PS GNC Paso 4500; Cambio Automático","","0,0","0,0","0,0","0,0"
"Iveco STRALIS AD260S30Y/PS GNC Paso 4500; Cambio Manual","","0,0","0,0","0,0","0,0"
"Iveco STRALIS AD260S30Y/PS GNC Paso 4800; Cambio Automático","","0,0","0,0","0,0","0,0"
"Iveco STRALIS AD260S30Y/PS GNC Paso 4800; Cambio Manual","","0,0","0,0","0,0","0,0"
"Iveco STRALIS AD260S30Y/PS GNC Paso 5100; Cambio Automático","","0,0","0,0","0,0","0,0"
"Iveco STRALIS AD260S30Y/PS GNC Paso 5100; Cambio Manual","","0,0","0,0","0,0","0,0"
"Iveco STRALIS AD260S33X/FP D GNC Paso 4200; Cambio Automático","","0,0","0,0","0,0","0,0"
"Iveco STRALIS AD260S33X/FP D GNC Paso 4500; Cambio Automático","","0,0","0,0","0,0","0,0"
"Iveco STRALIS AD260S33X/FP D GNC Paso 5000; Cambio Automático","","0,0","0,0","0,0","0,0"
"Iveco STRALIS AD260S33Y/FS D GNC Paso 5100; Cambio Automático","","0,0","0,0","0,0","0,0"
"Iveco STRALIS AD260S33Y/FS D GNC Paso 5100; Cambio Manual","","0,0","0,0","0,0","0,0"
"Iveco STRALIS AD260S33Y/FS D GNC Paso 6050; Cambio Automático","","0,0","0,0","0,0","0,0"
"Iveco STRALIS AD260S33Y/FS D GNC Paso 6050; Cambio Manual","","0,0","0,0","0,0","0,0"
"Iveco STRALIS AD260S33Y/PS GNC Paso 3120; Cambio Automático","","0,0","0,0","0,0","0,0"
"Iveco STRALIS AD260S33Y/PS GNC Paso 3120; Cambio Manual","","0,0","0,0","0,0","0,0"
"Iveco STRALIS AD260S33Y/PS GNC Paso 3800; Cambio Automático","","0,0","0,0","0,0","0,0"
"Iveco STRALIS AD260S33Y/PS GNC Paso 3800; Cambio Manual","","0,0","0,0","0,0","0,0"
"Iveco STRALIS AD260S33Y/PS GNC Paso 4200; Cambio Automático","","0,0","0,0","0,0","0,0"
"Iveco STRALIS AD260S33Y/PS GNC Paso 4200; Cambio Manual","","0,0","0,0","0,0","0,0"
"Iveco STRALIS AD260S33Y/PS GNC Paso 4500; Cambio Automático","","0,0","0,0","0,0","0,0"
"Iveco STRALIS AD260S33Y/PS GNC Paso 4500; Cambio Manual","","0,0","0,0","0,0","0,0"
"Iveco STRALIS AD260S33Y/PS GNC Paso 4800; Cambio Automático","","0,0","0,0","0,0","0,0"
"Iveco STRALIS AD260S33Y/PS GNC Paso 4800; Cambio Manual","","0,0","0,0","0,0","0,0"
"Iveco STRALIS AD260S33Y/PS GNC Paso 5100; Cambio Automático","","0,0","0,0","0,0","0,0"
"Iveco STRALIS AD260S33Y/PS GNC Paso 5100; Cambio Manual","","0,0","0,0","0,0","0,0"
"Iveco STRALIS AD260S33Y/PS GNC Paso 6050; Cambio Automático","","0,0","0,0","0,0","0,0"
"Iveco STRALIS AD260S33Y/PS GNC Paso 6050; Cambio Manual","","0,0","0,0","0,0","0,0"
"Iveco STRALIS AD260S33Y/PS GNL Paso 4200; Cambio Automático","","0,0","0,0","0,0","0,0"
"Iveco STRALIS AD260S33Y/PS GNL Paso 4200; Cambio Manual","","0,0","0,0","0,0","0,0"
"Iveco STRALIS AD260S33Y/PS GNL Paso 4500; Cambio Automático","","0,0","0,0","0,0","0,0"
"Iveco STRALIS AD260S33Y/PS GNL Paso 4500; Cambio Manual","","0,0","0,0","0,0","0,0"
"Iveco STRALIS AD260S33Y/PS GNL Paso 4800; Cambio Automático","","0,0","0,0","0,0","0,0"
"Iveco STRALIS AD260S33Y/PS GNL Paso 4800; Cambio Manual","","0,0","0,0","0,0","0,0"
"Iveco STRALIS AD260S33Y/PS GNL Paso 5100; Cambio Automático","","0,0","0,0","0,0","0,0"
"Iveco STRALIS AD260S33Y/PS GNL Paso 5100; Cambio Manual","","0,0","0,0","0,0","0,0"
"Iveco STRALIS AD260S33Y/PS GNL Paso 6050; Cambio Automático","","0,0","0,0","0,0","0,0"
"Iveco STRALIS AD260S33Y/PS GNL Paso 6050; Cambio Manual","","0,0","0,0","0,0","0,0"
"Iveco STRALIS AD440S33T/P CNG Paso 3800; Cambio Manual","","0,0","0,0","0,0","0,0"
"Iveco STRALIS AS440S40T/P C-LNG Paso 3800; Cambio Automátizado","","0,0","0,0","0,0","0,0"
"Iveco STRALIS AS440S40T/P CNG Paso 3800; Cambio Automátizado","","0,0","0,0","0,0","0,0"
