"Modelo","Clasificación Energética","Mínimo","Máximo","Mínimo","Máximo"
"Peugeot Nuevo 2008 2008 Roadtrip PureTech 130 S&S EAT8","","5,8","6,6","132,0","148,0"
"Peugeot Nuevo 208 208 5P Active BlueHDi 100 S&S 6 Vel. MAN","","4,0","4,6","104,0","122,0"
"Peugeot Nuevo 208 208 5P Active BlueHDi 100 S&S 6 Vel. MAN","","3,8","4,4","101,0","117,0"
"Peugeot Nuevo 208 208 5P Active Eléctrico 136","","0,0","0,0","0,0","0,0"
"Peugeot Nuevo 208 208 5P Active Pack BlueHDi 100 S&S 6 Vel. MAN","","3,8","4,4","101,0","117,0"
"Peugeot Nuevo 208 208 5P Active Pack Eléctrico 136","","0,0","0,0","0,0","0,0"
"Peugeot Nuevo 208 208 5P Active Pack PureTech 100 S&S 6 Vel. MAN","","5,0","5,8","112,0","130,0"
"Peugeot Nuevo 208 208 5P Active Pack PureTech 100 S&S EAT8","","5,1","5,8","116,0","131,0"
"Peugeot Nuevo 208 208 5P Active Pack PureTech 75 S&S 5 Vel. MAN","","5,1","5,9","114,0","132,0"
"Peugeot Nuevo 208 208 5P Active PureTech 100 S&S 6 Vel. MAN","","5,3","6,1","121,0","137,0"
"Peugeot Nuevo 208 208 5P Active PureTech 100 S&S EAT8","","5,6","6,4","127,0","144,0"
"Peugeot Nuevo 208 208 5P Active PureTech 100 S&S EAT8","","5,6","6,4","127,0","144,0"
"Peugeot Nuevo 208 208 5P Active PureTech 75 S&S 5 Vel. MAN","","5,1","5,9","114,0","132,0"
"Peugeot Nuevo 208 208 5P Allure BlueHDi 100 S&S 6 Vel. MAN","","4,0","4,6","104,0","122,0"
"Peugeot Nuevo 208 208 5P Allure BlueHDi 100 S&S 6 Vel. MAN","","3,8","4,4","101,0","117,0"
"Peugeot Nuevo 208 208 5P Allure Eléctrico 100","","0,0","0,0","0,0","0,0"
"Peugeot Nuevo 208 208 5P Allure Eléctrico 136","","0,0","0,0","0,0","0,0"
"Peugeot Nuevo 208 208 5P Allure Pack BlueHDi 100 S&S 6 Vel. MAN","","3,8","4,4","101,0","117,0"
"Peugeot Nuevo 208 208 5P Allure Pack Eléctrico 136","","0,0","0,0","0,0","0,0"
"Peugeot Nuevo 208 208 5P Allure Pack PureTech 100 S&S 6 Vel. MAN","","5,0","5,8","112,0","130,0"
"Peugeot Nuevo 208 208 5P Allure Pack PureTech 100 S&S EAT8","","5,1","5,8","116,0","131,0"
"Peugeot Nuevo 208 208 5P Allure Pack PureTech 130 S&S EAT8","","5,2","5,6","117,0","133,0"
"Peugeot Nuevo 208 208 5P Allure PureTech 100 S&S 6 Vel. MAN","","5,3","6,1","121,0","137,0"
"Peugeot Nuevo 208 208 5P Allure PureTech 100 S&S 6 Vel. MAN","","5,0","5,8","112,0","130,0"
"Peugeot Nuevo 208 208 5P Allure PureTech 100 S&S EAT8","","5,1","5,8","116,0","131,0"
"Peugeot Nuevo 208 208 5P Allure PureTech 130 S&S EAT8","","5,4","6,1","123,0","139,0"
"Peugeot Nuevo 208 208 5P Business Line BlueHDi 100 S&S 6 Vel. MAN","","4,0","4,6","104,0","122,0"
"Peugeot Nuevo 208 208 5P Business Line BlueHDi 100 S&S 6 Vel. MAN","","3,8","4,4","101,0","117,0"
"Peugeot Nuevo 208 208 5P Business Line PureTech 75 S&S 5 Vel. MAN","","5,1","5,9","114,0","132,0"
"Peugeot Nuevo 208 208 5P GT BlueHDi 100 S&S 6 Vel. MAN","","3,8","4,4","101,0","117,0"
"Peugeot Nuevo 208 208 5P GT Eléctrico 100","","0,0","0,0","0,0","0,0"
"Peugeot Nuevo 208 208 5P GT Eléctrico 136","","0,0","0,0","0,0","0,0"
"Peugeot Nuevo 208 208 5P GT Lime PureTech 100 S&S 6 Vel. MAN","","5,3","6,1","121,0","137,0"
"Peugeot Nuevo 208 208 5P GT Line BlueHDi 100 S&S 6 Vel. MAN","","4,0","4,6","104,0","122,0"
"Peugeot Nuevo 208 208 5P GT Line BlueHDi 100 S&S 6 Vel. MAN","","3,8","4,4","101,0","117,0"
"Peugeot Nuevo 208 208 5P GT Line Eléctrico 100","","0,0","0,0","0,0","0,0"
"Peugeot Nuevo 208 208 5P GT Line PureTech 100 S&S EAT8","","5,6","6,4","127,0","144,0"
"Peugeot Nuevo 208 208 5P GT Line PureTech 130 S&S EAT8","","5,4","6,1","123,0","139,0"
"Peugeot Nuevo 208 208 5P GT Pack BlueHDi 100 S&S 6 Vel. MAN","","3,8","4,4","101,0","117,0"
"Peugeot Nuevo 208 208 5P GT Pack Eléctrico 136","","0,0","0,0","0,0","0,0"
"Peugeot Nuevo 208 208 5P GT Pack PureTech 100 S&S 6 Vel. MAN","","5,0","5,8","112,0","130,0"
"Peugeot Nuevo 208 208 5P GT Pack PureTech 100 S&S EAT8","","5,1","5,8","116,0","131,0"
"Peugeot Nuevo 208 208 5P GT Pack PureTech 130 S&S EAT8","","5,2","5,6","117,0","133,0"
"Peugeot Nuevo 208 208 5P GT PureTech 100 S&S 6 Vel. MAN","","5,0","5,8","112,0","130,0"
"Peugeot Nuevo 208 208 5P GT PureTech 100 S&S EAT8","","5,1","5,8","116,0","131,0"
"Peugeot Nuevo 208 208 5P GT PureTech 130 S&S EAT8","","5,2","5,6","117,0","133,0"
"Peugeot Nuevo 208 208 5P Like PureTech 75 S&S 5 Vel. MAN","","5,1","5,9","114,0","132,0"
"Peugeot Nuevo 308 Nuevo 308 5P Active Pack BlueHDi 130 S&S EAT8","","4,3","5,0","114,0","130,0"
"Peugeot Nuevo 308 Nuevo 308 5P Active Pack BlueHDi 130 S&S MAN","","4,2","4,8","110,0","126,0"
"Peugeot Nuevo 308 Nuevo 308 5P Active Pack Hybrid 180 eEAT8","","1,0","1,3","23,0","30,0"
"Peugeot Nuevo 308 Nuevo 308 5P Active Pack Puretech 110 S&S MAN","","5,3","6,3","119,0","142,0"
"Peugeot Nuevo 308 Nuevo 308 5P Active Pack Puretech 130 S&S EAT8","","5,4","6,5","122,0","147,0"
"Peugeot Nuevo 308 Nuevo 308 5P Active Pack Puretech 130 S&S MAN","","5,3","6,4","119,0","145,0"
"Peugeot Nuevo 308 Nuevo 308 5P Allure BlueHDi 130 S&S EAT8","","4,3","5,2","113,0","137,0"
"Peugeot Nuevo 308 Nuevo 308 5P Allure BlueHDi 130 S&S MAN","","4,2","5,1","109,0","135,0"
"Peugeot Nuevo 308 Nuevo 308 5P Allure Hybrid 180 eEAT8","","1,0","1,3","23,0","30,0"
"Peugeot Nuevo 308 Nuevo 308 5P Allure Pack BlueHDi 130 S&S EAT8","","4,3","5,2","113,0","137,0"
"Peugeot Nuevo 308 Nuevo 308 5P Allure Pack BlueHDi 130 S&S MAN","","4,2","5,1","109,0","135,0"
"Peugeot Nuevo 308 Nuevo 308 5P Allure Pack Hybrid 180 eEAT8","","1,0","1,3","23,0","30,0"
"Peugeot Nuevo 308 Nuevo 308 5P Allure Pack Puretech 130 S&S EAT8","","5,4","6,5","122,0","147,0"
"Peugeot Nuevo 308 Nuevo 308 5P Allure Pack Puretech 130 S&S MAN","","5,3","6,4","119,0","145,0"
"Peugeot Nuevo 308 Nuevo 308 5P Allure Puretech 130 S&S EAT8","","5,4","6,5","122,0","147,0"
"Peugeot Nuevo 308 Nuevo 308 5P Allure Puretech 130 S&S MAN","","5,3","6,4","119,0","145,0"
"Peugeot Nuevo 308 Nuevo 308 5P GT BlueHDi 130 S&S EAT8","","4,3","5,2","113,0","137,0"
"Peugeot Nuevo 308 Nuevo 308 5P GT Hybrid 180 eEAT8","","1,0","1,3","23,0","30,0"
"Peugeot Nuevo 308 Nuevo 308 5P GT Hybrid 225 eEAT8","","1,1","1,3","24,0","30,0"
"Peugeot Nuevo 308 Nuevo 308 5P GT Pack BlueHDi 130 S&S EAT8","","4,3","5,2","113,0","137,0"
"Peugeot Nuevo 308 Nuevo 308 5P GT Pack Hybrid 180 eEAT8","","1,0","1,3","23,0","30,0"
"Peugeot Nuevo 308 Nuevo 308 5P GT Pack Hybrid 225 eEAT8","","1,1","1,3","24,0","30,0"
"Peugeot Nuevo 308 Nuevo 308 5P GT Pack Puretech 130 S&S EAT8","","5,4","6,5","122,0","147,0"
