"Modelo","Clasificación Energética","Mínimo","Máximo","Mínimo","Máximo"
"Toyota PROACE CITY VAN 1.5D L1 2P 1000 kg. (MY20)","","5,4","6,0","141,0","158,0"
"Toyota PROACE CITY VAN 1.5D L1 2P 650 kg. (MY20)","","5,1","6,1","133,0","160,0"
"Toyota PROACE CITY VAN 1.5D L1 2P 650 kg. (MY20)","","5,1","6,1","133,0","160,0"
"Toyota PROACE CITY VAN 1.5D L1 3P 1000 kg. (MY20)","","5,1","6,1","133,0","160,0"
"Toyota PROACE CITY VAN 1.5D L2 2P 1000 kg. (MY20)","","5,1","6,1","133,0","160,0"
"Toyota PROACE CITY VAN 1.5D L2 2P 1000 kg. (MY20)","","5,4","6,0","141,0","158,0"
"Toyota PROACE CITY VAN 1.5D L2 3P 1000 kg. (MY20)","","5,4","6,0","141,0","158,0"
"Toyota PROACE CITY VERSO Combi / Family 1.5D L1 5P 6MT VX/ Active (MY20)","","5,2","6,1","137,0","161,0"
"Toyota PROACE CITY VERSO Combi / Family 1.5D L1 5P Aut. Llanta 16p (MY20)","","5,4","6,2","141,0","163,0"
"Toyota PROACE CITY VERSO Combi 1.5D L1 5P 5MT GX/ VX (MY20)","","5,1","6,1","133,0","160,0"
"Toyota PROACE CITY VERSO Combi 1.5D L1 GX/VX 5p (MY21)","","4,9","5,9","129,1","154,2"
"Toyota PROACE CITY VERSO Combi 1.5D L1 VX 5p (MY21)","","5,0","5,9","130,0","154,4"
"Toyota PROACE CITY VERSO Combi 1.5D L2 2PL 5P GX/ VX (MY20)","","5,2","6,1","137,0","161,0"
"Toyota PROACE CITY VERSO Combi 1.5D L2 5P GX Llanta 16p (MY20)","","5,1","6,1","133,0","160,0"
"Toyota PROACE CITY VERSO Combi 1.5D L2 7P VX (MY20)","","5,2","6,1","137,0","161,0"
"Toyota PROACE CITY VERSO Combi 1.5D L2 GX 5p (MY21)","","4,9","5,9","129,1","154,2"
"Toyota PROACE CITY VERSO Combi 1.5D L2 GX/VX 5p (MY21)","","5,0","5,9","130,0","154,4"
"Toyota PROACE CITY VERSO Combi 1.5D L2 VX 7p (MY21)","","5,0","5,9","130,0","154,4"
"Toyota PROACE CITY VERSO Combi1.5D L2 1PL 5P GX (MY20)","","5,1","6,1","133,0","160,0"
"Toyota PROACE CITY VERSO Family 1.2 L1 5P Aut. Active (MY20)","","6,6","7,8","149,0","176,0"
"Toyota PROACE CITY VERSO Family 1.2 L1 Active 5P.(MY20)","","6,5","7,7","147,0","174,0"
"Toyota PROACE CITY VERSO Family 1.2 L2 Active 7P Aut.(MY20)","","6,6","7,8","149,0","176,0"
"Toyota PROACE CITY VERSO Family 1.2P L1 ACTIVE 5p (MY21)","","6,2","7,4","139,8","166,9"
"Toyota PROACE CITY VERSO Family 1.2P L1 ACTIVE 5p Aut. (MY21)","","6,5","7,7","145,8","173,0"
